include,done,symp,id,class,desc,species,species by,species syn,species syn by,species alt,POWO,IPNI,TPL,GBIF,TROP,EOL,WFO,NCBI,NCBI id,family,Wyk name,Amar name,Hu name,other name,plant part used,region of origin,country code,lat,lon,source,macroarea,area,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,usage,TCM,TCM DB,Ayurveda,taste/smell,heat,Major uses,Culinary,Medicinal,Köhler,Wyk,Hu,Words,Notes,Britannica,English,En alt,Plant name,Chinese WN,Chinese Wiki,Chinese simp.,FOC,Chinese,Ch transliteration,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Indonesian,Malay,Persian,pharmaceutical,pharma en,TCM name,ECMM,medicinal group,meridian,action,Hu zh,Hu en,Extra
out,,,,,,Curcuma aromatica,,,,,,,,,,,,,,Zingiberaceae,Bombay or Indian arrowroot; wild turmeric; yellow zedoary,,,,rhizome,S As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Curcuma longa (=C. domestica),,,,,,,,,,,,,,Zingiberaceae,turmeric,,,,rhizome,Ind,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Curcuma mangga,,,,,,,,,,,,,,Zingiberaceae,Indonesian mango ginger,,,,rhizome,Trop As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Cymbopogon flexuosus,,,,,,,,,,,,,,Poaceae,East Indian lemongrass; Malabar lemongrass; Cochin grass,,,,leaf,S As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Cymbopogon iwarancusa,,,,,,,,,,,,,,Poaceae,karnkusa grass; khavi grass,,,,leaf,As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Cymbopogon martinii,,,,,,,,,,,,,,Poaceae,ginger grass; rosha grass; palmarosa grass,,,,leaf,Ind,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Cymbopogon nardus,,,,,,,,,,,,,,Poaceae,citronella; Ceylon citronella; nard grass,,,,leaf,Trop As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Cymbopogon schoenanthus,,,,,,,,,,,,,,Poaceae,camel grass; geranium grass,,,,leaf,N Afr; As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Cymbopogon winterianus,,,,,,,,,,,,,,Poaceae,Java citronella; Java lemongrass,,,,leaf,As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Cynometra cauliflora,,,,,,,,,,,,,,Leguminosae,katak puru; nam nam; puki; puru,,,,cooked fruits,SE As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Decalepsis hamiltonii,,,,,,,,,,,,,,Apocynaceae,mahali kizhangu,,,,root,S As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Deianira nervosa,,,,,,,,,,,,,,Gentianaceae,Deianiraktaut,,,,herb,Trop Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Dianthus caryophyllus,,,,,,,,,,,,,,Caryophyllaceae,carnation; clove pink; gilly flower,,,,flower,Med,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Dicypellium caryophyllatum,,,,,,,,,,,,,,Lauraceae,clove bark; pinkwood bark,,,,bark,S Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Dillenia indica,,,,,,,,,,,,,,Dilleniaceae,chalta tree; elephant apple,,,,fruit pulp,Ind; C Malay,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Diplotaxis tenuifolia,,,,,,,,,,,,,,Brassicaceae,wild rocket,,,,leaf,Eu,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
